title_id,title_type,primary_title,original_title,year,runtime_minutes,genres,country
tt0049988,movie,Åsa-Nisse flyger i luften,Åsa-Nisse flyger i luften,1956,94,Comedy,Sweden
tt0050083,movie,12 Angry Men,12 Angry Men,1957,96,"Crime,Drama",USA
tt0050084,movie,20 Million Miles to Earth,20 Million Miles to Earth,1957,82,"Adventure,Fantasy,Horror",USA
tt0050085,movie,The 27th Day,The 27th Day,1957,75,Sci-Fi,USA
tt0050086,movie,3:10 to Yuma,3:10 to Yuma,1957,92,"Drama,Thriller,Western",USA
tt0050087,movie,5 Steps to Danger,5 Steps to Danger,1956,81,"Crime,Drama,Film-Noir",USA
tt0050091,movie,Seven Days from Now,Seven Waves Away,1957,100,"Adventure,Drama,Thriller","UK, USA"
tt0050095,movie,The Abominable Snowman,The Abominable Snowman,1957,91,"Adventure,Horror",UK
tt0050096,movie,Account Rendered,Account Rendered,1957,59,"Crime,Drama,Mystery",UK
tt0050097,movie,Across the Bridge,Across the Bridge,1957,103,"Crime,Drama,Thriller",UK
tt0050099,movie,Action of the Tiger,Action of the Tiger,1957,93,"Action,Crime,Drama","UK, USA"
tt0050100,movie,Paradise Lagoon,The Admirable Crichton,1957,94,"Adventure,Comedy,Romance","UK, USA"
tt0050103,movie,Affair in Havana,Affair in Havana,1957,77,"Crime,Film-Noir","Cuba, USA"
tt0050105,movie,An Affair to Remember,An Affair to Remember,1957,115,"Drama,Musical,Romance",USA
tt0050108,movie,King on Horseback,"La Tour, prends garde!",1958,82,"Adventure,Drama","France, Italy, Yugoslavia"
tt0050112,movie,All Mine to Give,All Mine to Give,1957,103,"Drama,Family,Romance",USA
tt0050118,movie,The Amazing Colossal Man,The Amazing Colossal Man,1957,80,Sci-Fi,USA
tt0050123,movie,Montparnasse 19,Les amants de Montparnasse,1958,108,"Biography,Drama,Romance","France, Italy"
tt0050126,movie,Bitter Victory,Bitter Victory,1957,102,"Drama,War","France, USA"
tt0050128,movie,Bewildered Youth,Anders als du und ich (§ 175),1957,91,Drama,West Germany
tt0050135,movie,April Love,April Love,1957,97,"Comedy,Drama,Musical",USA
tt0050136,movie,Untamed Woman,Arakure,1957,121,Drama,Japan
tt0050139,movie,Arrivano i dollari!,Arrivano i dollari!,1957,82,Comedy,Italy
tt0050140,movie,Seven Hills of Rome,Arrivederci Roma,1957,107,"Drama,Musical,Romance","Italy, USA"
tt0050142,movie,Lovers and Thieves,Assassins et voleurs,1956,85,"Comedy,Crime,Drama",France
tt0050143,movie,The Astounding She-Monster,The Astounding She-Monster,1957,62,"Crime,Horror,Sci-Fi",USA
tt0050146,movie,El ataúd del Vampiro,El ataúd del Vampiro,1958,80,"Horror,Mystery,Thriller",Mexico
tt0050147,movie,Attack of the Crab Monsters,Attack of the Crab Monsters,1957,63,"Horror,Sci-Fi",USA
tt0050152,movie,The Adventures of Arsène Lupin,Les aventures d'Arsène Lupin,1957,104,"Crime,Mystery","France, Italy"
tt0050155,movie,Baby Face Nelson,Baby Face Nelson,1957,85,"Biography,Crime,Drama",USA
tt0050156,movie,The Bachelor Party,The Bachelor Party,1957,92,Drama,USA
tt0050157,movie,Back from the Dead,Back from the Dead,1957,79,Horror,USA
tt0050158,movie,The Badge of Marshal Brennan,The Badge of Marshal Brennan,1957,76,"Romance,Western",USA
tt0050160,movie,"Bailout at 43, 000","Bailout at 43,000",1957,78,Drama,USA
tt0050161,movie,In Soldier's Uniform,Bakaruhában,1957,91,"Drama,Romance",Hungary
tt0050162,movie,Bakumatsu taiyôden,Bakumatsu taiyôden,1957,110,"Comedy,Drama",Japan
tt0050168,movie,All at Sea,Barnacle Bill,1957,87,Comedy,UK
tt0050169,movie,The Barretts of Wimpole Street,The Barretts of Wimpole Street,1957,105,"Biography,Drama,History","UK, USA"
tt0050171,movie,Battle Hymn,Battle Hymn,1957,108,"Biography,Drama,History",USA
tt0050173,movie,Bayou,Bayou,1957,83,Drama,USA
tt0050174,movie,The Beasts of Marseilles,Seven Thunders,1957,100,"Drama,Romance,War",UK
tt0050175,movie,Beau James,Beau James,1957,105,"Biography,Drama",USA
tt0050177,movie,Beginning of the End,Beginning of the End,1957,76,"Horror,Sci-Fi",USA
tt0050179,movie,Confessions of Felix Krull,Bekenntnisse des Hochstaplers Felix Krull,1957,107,"Comedy,Drama",West Germany
tt0050181,movie,"Poor Girl, Pretty Girl",Belle ma povere,1957,99,"Comedy,Romance",Italy
tt0050182,movie,Berlin - Ecke Schönhauser,Berlin - Ecke Schönhauser,1957,81,"Crime,Drama,Romance",East Germany
tt0050184,movie,Bernardine,Bernardine,1957,95,"Comedy,Music,Romance",USA
tt0050188,movie,Mother India,Mother India,1957,172,"Action,Comedy,Drama",India
tt0050189,movie,The Big Boodle,The Big Boodle,1957,84,"Crime,Drama,Thriller","USA, Mexico"
tt0050190,movie,The Big Caper,The Big Caper,1957,84,"Crime,Drama,Film-Noir",USA
tt0050192,movie,The Big Land,The Big Land,1957,92,"Romance,Western",USA
tt0050193,movie,The Night Heaven Fell,Les bijoutiers du clair de lune,1958,95,"Crime,Drama,Thriller","France, Italy"
tt0050195,movie,The Birthday Present,The Birthday Present,1957,100,Drama,UK
tt0050196,movie,Black Patch,Black Patch,1957,82,Western,USA
tt0050197,movie,The Black Scorpion,The Black Scorpion,1957,88,"Horror,Sci-Fi","Mexico, USA"
tt0050201,movie,Blood of Dracula,Blood of Dracula,1957,69,Horror,USA
tt0050204,movie,Bombers B-52,Bombers B-52,1957,106,"Drama,Romance,War",USA
tt0050206,movie,The Wrestler and the Clown,Borets i kloun,1957,95,"Drama,Sport",Soviet Union
tt0050208,movie,Boy on a Dolphin,Boy on a Dolphin,1957,111,"Adventure,Drama,Romance",USA
tt0050210,movie,The Brain from Planet Arous,The Brain from Planet Arous,1957,71,"Action,Adventure,Horror",USA
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War","UK, USA"
tt0050213,movie,The Brothers Rico,The Brothers Rico,1957,92,"Crime,Drama,Film-Noir",USA
tt0050214,movie,Brothers in Law,Brothers in Law,1957,94,Comedy,UK
tt0050218,movie,The Buster Keaton Story,The Buster Keaton Story,1957,91,"Biography,Comedy,Drama",USA
tt0050219,movie,Bäckerei Zürrer,Bäckerei Zürrer,1957,105,Drama,Switzerland
tt0050225,movie,Campbell's Kingdom,Campbell's Kingdom,1957,102,"Adventure,Drama",UK
tt0050230,movie,Carnival Rock,Carnival Rock,1957,75,"Drama,Romance",USA
tt0050231,movie,The House of the Angel,La casa del ángel,1957,76,Drama,Argentina
tt0050233,movie,Cast a Dark Shadow,Cast a Dark Shadow,1955,82,"Crime,Thriller",UK
tt0050235,movie,Cat Girl,Cat Girl,1957,76,Horror,UK
tt0050237,movie,He Who Must Die,Celui qui doit mourir,1957,122,Drama,"France, Italy"
tt0050240,movie,Chain of Events,Chain of Events,1958,62,Drama,UK
tt0050243,movie,The Chaplin Revue,The Chaplin Revue,1959,128,Comedy,UK
tt0050246,movie,Chase a Crooked Shadow,Chase a Crooked Shadow,1958,88,"Crime,Mystery,Thriller",UK
tt0050249,movie,Chicago Confidential,Chicago Confidential,1957,75,"Action,Adventure,Crime",USA
tt0050251,movie,The Mysterians,Chikyû Bôeigun,1957,89,"Action,Family,Sci-Fi",Japan
tt0050252,movie,China Gate,China Gate,1957,97,"Action,Drama,War",USA
tt0050260,movie,Like a Hair in the Soup,Comme un cheveu sur la soupe,1957,79,Comedy,France
tt0050263,movie,Il conte Max,Il conte Max,1957,103,Comedy,"Italy, Spain"
tt0050265,movie,Copper Sky,Copper Sky,1957,77,Western,USA
tt0050267,movie,The Counterfeit Plan,The Counterfeit Plan,1957,87,"Crime,Drama",UK
tt0050271,movie,Crime of Passion,Crime of Passion,1956,86,"Crime,Drama,Film-Noir",USA
tt0050280,movie,The Curse of Frankenstein,The Curse of Frankenstein,1957,82,"Horror,Sci-Fi,Thriller",UK
tt0050281,movie,The Cyclops,The Cyclops,1957,66,"Horror,Sci-Fi",USA
tt0050282,movie,Czlowiek na torze,Czlowiek na torze,1957,89,Drama,Poland
tt0050283,movie,The D.I.,The D.I.,1957,106,Drama,USA
tt0050285,movie,The Dalton Girls,The Dalton Girls,1957,71,Western,USA
tt0050286,movie,Dishonorable Discharge,Ces dames préfèrent le mambo,1957,116,"Action,Adventure,Comedy","France, Italy"
tt0050287,movie,Dangerous Exile,Dangerous Exile,1957,88,"Adventure,Drama,Romance",UK
tt0050292,movie,Daughter of Dr. Jekyll,Daughter of Dr. Jekyll,1957,71,"Fantasy,Horror",USA
tt0050293,movie,Davy,Davy,1958,83,"Comedy,Drama",UK
tt0050294,movie,The Deadly Mantis,The Deadly Mantis,1957,79,"Horror,Sci-Fi,Thriller",USA
tt0050295,movie,Death in Small Doses,Death in Small Doses,1957,79,"Crime,Drama,Film-Noir",USA
tt0050296,movie,Decision at Sundown,Decision at Sundown,1957,77,Western,USA
tt0050298,movie,The Deep Six,The Deep Six,1958,105,"Drama,War",USA
tt0050299,movie,The Deerslayer,The Deerslayer,1957,78,"Adventure,War,Western",USA
tt0050301,movie,The Delicate Delinquent,The Delicate Delinquent,1957,101,Comedy,USA
tt0050302,movie,The Delinquents,The Delinquents,1957,72,Drama,USA
tt0050303,movie,Delo bylo v Penkove,Delo bylo v Penkove,1958,100,"Drama,Romance",Soviet Union
tt0050306,movie,Designing Woman,Designing Woman,1957,118,"Comedy,Romance",USA
tt0050312,movie,Girl Without an Address,Devushka bez adresa,1958,90,"Comedy,Romance",Soviet Union
